Rank,Median Household Income,Zip / Population,Zip,Population
1247,"$42,500 ",95568 / 94,95568,94
1677,"$13,906 ",93528 / 79,93528,79
1340,"$39,375 ",95646 / 98,95646,98
1294,"$41,042 ",96076 / 88,96076,88
1315,"$40,341 ",94576 / 87,94576,87
1540,"$31,296 ",92266 / 62,92266,62
1582,"$28,897 ",95486 / 54,95486,54
373,"$80,729 ",92384 / 34,92384,34
149,"$102,500 ",92364 / 30,92364,30
1639,"$24,009 ",93623 / 58,93623,58
1492,"$33,333 ",96123 / 36,96123,36
1416,"$36,875 ",96071 / 77,96071,77
1466,"$34,688 ",96111 / 69,96111,69
400,"$78,750 ",96061 / 19,96061,19
1653,"$21,333 ",94950 / 74,94950,74
138,"$104,125 ",92060 / 61,92060,61
845,"$56,667 ",95720 / 60,95720,60
1683,"$11,250 ",93530 / 28,93530,28
1223,"$43,092 ","92335 / 99,580",92335,"99,580"
1209,"$43,526 ","90280 / 95,515",90280,"95,515"
1143,"$45,766 ","90250 / 95,223",90250,"95,223"
1162,"$45,197 ","90805 / 94,561",90805,"94,561"
893,"$55,051 ","92503 / 92,959",92503,"92,959"
728,"$60,899 ","91342 / 91,701",91342,"91,701"
294,"$87,425 ","92336 / 91,510",92336,"91,510"
926,"$53,559 ","92683 / 91,204",92683,"91,204"
1588,"$28,344 ","90044 / 88,412",90044,"88,412"
872,"$55,865 ","94565 / 87,395",94565,"87,395"
770,"$59,412 ","92704 / 87,121",92704,"87,121"
807,"$57,789 ","91744 / 87,096",91744,"87,096"
750,"$60,162 ","92154 / 86,740",92154,"86,740"
957,"$52,408 ","92804 / 85,969",92804,"85,969"
1167,"$44,965 ","92376 / 85,647",92376,"85,647"
844,"$56,671 ","95076 / 84,587",95076,"84,587"
1477,"$34,358 ","93307 / 84,184",93307,"84,184"
1069,"$48,891 ","91911 / 83,710",91911,"83,710"
510,"$71,825 ","91710 / 83,042",91710,"83,042"
519,"$71,505 ","94112 / 83,032",94112,"83,032"
888,"$55,210 ","93033 / 82,263",93033,"82,263"
1254,"$42,323 ","92345 / 81,049",92345,"81,049"
910,"$54,381 ","93722 / 80,455",93722,"80,455"
824,"$57,286 ","92509 / 78,221",92509,"78,221"
311,"$85,707 ","92126 / 78,201",92126,"78,201"
994,"$51,398 ","91335 / 77,952",91335,"77,952"
1004,"$51,234 ","91706 / 77,692",91706,"77,692"
1056,"$49,360 ","90706 / 77,455",90706,"77,455"
904,"$54,640 ","91910 / 76,797",91910,"76,797"
765,"$59,699 ","94544 / 76,508",94544,"76,508"
1440,"$35,985 ","90255 / 76,206",90255,"76,206"
193,"$97,609 ","91709 / 76,187",91709,"76,187"
1333,"$39,551 ","93257 / 75,390",93257,"75,390"
266,"$89,541 ","92592 / 74,558",92592,"74,558"
1371,"$38,502 ","93550 / 74,203",93550,"74,203"
1226,"$42,984 ","92553 / 73,803",92553,"73,803"
1127,"$46,394 ","93727 / 73,671",93727,"73,671"
1423,"$36,731 ","95823 / 73,641",95823,"73,641"
169,"$100,308 ","95630 / 73,356",95630,"73,356"
